F1_CL,F2_CL,F3_CL,F1_CD,F2_CD,F3_CD
0,0,0,43,76,63
0,0,0,51,70,46
0,0,0,41,83,45
0,0,0,60,48,37
0,0,0,65,79,59
0,0,0,51,80,10
0,0,0,56,82,47
0,0,0,82,70,13
0,0,0,27,85,0
0,0,0,0,88,0
0,0,0,0,85,17
0,0,0,56,97,53
0,0,0,63,81,36
0,0,0,24,84,52
0,0,0,53,88,65
0,0,0,65,77,39
0,0,0,53,87,0
0,0,0,54,83,0
0,0,0,80,71,0
0,0,0,52,76,0
0,0,0,63,67,0
0,0,0,81,84,0
0,0,0,15,85,0
0,0,0,18,86,0
0,0,0,0,89,42
0,0,0,0,78,75
0,0,0,10,80,39
0,0,0,62,81,50
0,0,0,0,63,47
0,0,0,15,34,56
0,0,0,30,58,26
0,0,0,25,50,55
0,0,0,3,37,70
0,0,0,37,38,7
0,0,0,66,29,0
0,0,0,66,83,0
0,0,0,51,70,0
0,0,29,30,58,0
0,0,58,35,77,0
0,0,50,64,93,0
0,0,2,1,85,0
0,0,0,0,64,0
0,0,0,0,73,0
0,0,0,0,77,0
0,0,3,0,74,0
0,0,11,0,43,0
0,0,0,0,63,0
0,0,8,0,45,0
0,0,0,0,62,0
0,0,0,0,55,0
0,0,0,0,75,46
0,0,0,0,71,41
0,0,0,0,77,36
0,0,0,0,79,60
0,0,0,0,79,88
0,0,0,0,90,62
0,0,0,0,66,36
0,0,0,0,73,48
0,0,0,9,76,3
0,0,0,6,73,0
0,0,0,0,81,0
0,0,0,10,79,0
0,0,0,0,86,0
0,0,0,4,89,0
0,0,0,0,79,0
0,0,0,5,69,0
0,0,0,0,85,0
0,0,0,0,80,0
0,0,0,0,86,0
0,0,0,0,86,0
0,0,0,0,87,0
0,0,0,0,76,0
0,0,0,0,79,0
0,0,0,0,91,0
0,0,0,0,94,0
0,0,0,25,90,0
0,0,0,0,85,0
0,0,0,21,97,0
0,0,0,43,89,0
0,0,0,29,93,0
0,0,0,23,83,0
0,0,0,1,82,0
0,0,13,30,55,0
0,0,10,19,61,0
0,0,14,19,59,0
0,0,0,50,62,0
0,0,0,0,49,0
0,42,0,0,67,0
0,84,0,0,47,0
0,73,0,0,46,0
0,72,0,0,68,0
0,81,0,0,70,0
0,47,0,5,50,0
0,82,0,0,23,0
0,30,0,0,29,0
0,0,0,0,78,0
0,0,0,14,66,0
0,0,0,51,67,0
0,0,0,75,81,0
0,0,0,82,74,0
0,0,0,85,69,0
0,0,0,75,64,0
0,0,0,71,51,0
0,0,0,39,60,0
0,0,0,30,42,0
0,0,0,26,79,0
0,0,0,0,83,0
0,0,0,30,87,0
0,0,3,0,17,0
0,0,19,66,32,0
0,0,0,56,20,0
0,0,0,18,3,0
3,0,0,0,73,0
3,0,18,27,72,0
0,0,18,18,76,0
0,0,14,0,78,0
0,0,57,50,75,0
0,0,19,0,86,0
0,0,0,22,68,0
0,0,9,46,80,0
0,0,34,65,83,0
0,9,60,74,62,0
0,38,55,65,83,0
0,27,28,25,77,0
0,62,9,12,74,0
23,44,0,43,73,0
0,23,0,68,65,0
0,0,0,77,80,0
0,30,0,82,80,0
0,4,0,69,73,0
0,28,14,74,75,0
5,24,0,80,75,0
0,0,0,74,79,0
0,0,0,48,67,0
0,0,0,43,85,0
0,0,0,65,82,0
0,10,0,58,89,0
0,0,0,87,86,0
0,22,0,72,87,0
0,0,0,73,75,0
0,31,0,72,88,0
0,58,0,78,78,0
0,30,0,43,89,0
0,56,0,0,80,0
0,60,0,31,80,0
0,47,0,63,86,0
0,28,0,18,85,0
0,60,0,27,87,0
0,0,0,10,95,0
0,0,0,23,80,0
0,36,0,0,74,0
0,72,0,10,86,6
0,52,0,20,89,0
0,29,0,7,85,0
0,57,0,0,84,32
0,72,0,0,88,64
0,88,0,0,78,50
0,76,0,0,82,43
0,30,0,0,90,47
0,31,0,0,85,65
0,25,0,0,73,65
0,0,3,0,76,63
0,0,0,0,78,53
12,41,0,37,75,9
10,19,2,71,86,19
0,25,12,73,86,47
0,49,33,85,91,55
18,75,21,78,82,58
45,78,15,76,77,55
29,54,0,37,81,20
0,61,0,2,80,41
25,86,2,2,81,45
