CL_f2_feb,CL_f3_feb,CL_notes_feb,CL_f1_aug,CL_notes_aug,CD_f2_aug,CD_f1_aug,CD_notes_aug,CD_f3_sept,CD_notes_sept
0,0,lights on ,0,lights on ,27,0,lights off,88,lights on
0,0,lights on ,0,lights on ,74,0,lights off,84,lights on
0,0,lights on ,0,lights on ,77,34,lights off,45,lights on
0,0,lights on ,0,lights on ,85,47,lights off,65,lights on
0,0,lights on ,0,lights on ,84,70,lights off,46,lights on
0,0,lights on ,0,lights on ,74,81,lights off,62,lights on
0,0,lights on ,0,lights on ,79,78,lights off,51,lights on
0,0,lights on ,0,lights on ,79,80,lights off,0,lights on
0,0,lights on ,0,lights on ,80,86,lights off,55,lights on
0,0,lights on ,0,lights on ,78,77,lights off,79,lights on
0,0,lights on ,0,lights on ,82,83,lights off,58,lights on
0,0,lights on ,0,lights on ,83,93,lights off,43,lights on
0,0,lights on ,0,lights on ,84,94,lights off,74,lights on
0,0,lights on ,0,lights on ,87,86,lights off,65,lights on
0,0,lights on ,0,lights on ,70,68,lights off,74,lights on
0,0,lights on ,0,lights on ,86,85,lights off,71,lights on
0,0,lights on ,0,lights on ,83,92,lights off,84,lights on
0,0,lights on ,0,lights on ,74,75,lights off,87,lights on
0,0,lights on ,0,lights on ,73,87,lights off,82,lights on
0,0,lights on ,0,lights on ,75,84,lights off,80,lights on
0,0,lights on ,0,lights on ,84,84,lights off,71,lights on
0,0,lights on ,0,lights on ,86,88,lights off,64,lights on
0,0,lights on ,0,lights on ,66,90,lights off,65,lights on
0,0,lights on ,0,lights on ,64,82,lights off,85,lights on
0,0,lights on ,0,lights on ,8,78,lights off,82,lights on
0,0,lights on ,0,lights on ,21,81,lights off,89,lights on
0,0,lights on ,0,lights on ,8,85,lights off,76,lights on
0,0,lights on ,0,lights on ,0,78,lights off,75,lights on
0,0,lights on ,0,lights on ,0,88,lights off,61,lights on
0,0,lights on ,0,lights on ,55,93,lights off,71,lights on
0,0,lights on ,0,lights on ,87,83,lights off,59,lights on
0,0,lights on ,0,lights on ,73,92,lights off,67,lights on
0,1,lights on ,0,lights on ,37,87,lights off,47,lights on
0,7,lights on ,0,lights on ,68,85,lights off,51,lights on
0,0,lights on ,0,lights on ,80,84,lights off,59,lights on
0,0,lights on ,0,lights on ,61,90,lights off,70,lights on
0,0,lights on ,0,lights on ,79,83,lights off,49,lights on
