X,CL_CON_4179,CL_HFD_4113,CD_CON_4045,CD_HFD_4277
376,60.27232,67.63811,89.09735,69.202
377,54.05411,67.82622,85.30691,62.20219
378,47.32671,66.95156,79.9631,54.97968
379,41.21198,64.31879,73.61951,48.64171
380,35.56789,60.42122,67.35909,43.26109
381,31.72345,55.21812,61.30495,39.53744
382,28.60826,49.62519,56.21397,37.33505
383,28.12364,43.96532,51.17779,36.43707
384,28.31462,38.5666,47.53904,36.11501
385,29.33862,33.69326,44.0669,36.05965
386,28.76811,29.13484,41.06456,35.97859
387,27.96572,25.83784,39.05578,34.68457
388,25.41768,22.71097,37.42698,33.25678
389,22.59703,20.57549,36.92083,30.90539
390,19.6451,18.73457,36.8854,28.05511
391,17.2226,17.44604,37.12499,25.24763
392,14.55614,15.98764,36.67268,22.08304
393,12.84022,14.5304,35.57805,18.97333
394,12.37995,13.85132,34.0509,16.83467
395,11.87692,12.61165,31.63736,14.93284
396,11.32695,11.1317,29.45523,14.4949
397,11.63539,10.2562,27.50739,14.9223
398,12.77165,8.684817,25.90513,15.45657
399,13.87794,7.634736,24.41838,15.464
400,14.44471,6.452,23.54917,15.31245
401,13.19615,5.056126,23.14497,13.68631
402,9.767887,3.938086,23.00309,10.83632
403,5.790785,3.059689,22.99724,7.647212
404,1.475621,2.755961,22.73479,5.149008
405,-2.68543,2.820531,21.97344,3.339609
406,-5.317567,3.588027,21.10152,2.938838
407,-6.821699,4.344873,20.15627,2.497115
408,-6.639476,5.295845,18.72425,3.136031
409,-4.662235,5.884933,17.05469,3.593233
410,-2.15193,5.404295,15.07556,4.889184
411,0.2681356,5.159017,13.20164,5.449922
412,0.9610363,3.928972,11.0982,4.804097
413,0.2198503,2.899503,8.844864,2.998085
414,-2.131732,1.9795,7.22321,0.9583016
415,-4.392591,8.99E-02,7.163824,-1.109277
416,-7.94567,-1.294208,7.470212,-3.014401
417,-10.85297,-2.128425,8.485263,-5.879983
418,-14.09305,-2.824417,10.03193,-8.109915
419,-16.68542,-2.887966,11.42818,-9.253385
420,-17.63765,-2.440188,12.23024,-10.19373
421,-17.97711,-2.346132,11.46118,-10.35487
422,-17.32998,-2.091036,10.15339,-9.725783
423,-15.60712,-2.356718,8.457453,-8.767673
424,-14.09335,-3.117427,6.89571,-8.617596
425,-12.98774,-4.539072,4.928817,-8.855124
426,-11.78351,-5.759597,3.293295,-9.128866
427,-11.79937,-6.501501,1.603345,-9.246761
428,-13.04067,-7.511846,0.2065383,-9.049682
429,-14.11604,-8.549558,-0.9366542,-9.077085
430,-15.62118,-8.74203,-1.938667,-8.657832
431,-17.11566,-9.577897,-2.858329,-9.03013
432,-17.71374,-10.24962,-3.606516,-9.598715
433,-17.85112,-10.78252,-4.338069,-9.755533
434,-16.88911,-11.54456,-5.235509,-9.977309
435,-15.78776,-11.79432,-6.120686,-9.155789
436,-14.25942,-11.74368,-6.441385,-8.152075
437,-12.48749,-11.47207,-7.063601,-7.732378
438,-11.20973,-11.40223,-7.629395,-7.141046
